"Region","Country ","Country Full Name","company","Sector Focus","Description","City","Website"
"Europe","ESP","Spain","Miura Partners","Industry, sustainability, agribusiness","Invests in sustainable SMEs with industrial and agro focus.","Barcelona","miura.partners"
"Europe","ESP","Spain","Espiga Capital","Industry, capital goods","Focuses on family-owned or growth-stage companies in industrial manufacturing.","Madrid","espigacapital.com"
"Europe","ESP","Spain","Oquendo Capital","Industrial SMEs, organic growth","Specialized in mezzanine and flexible financing for SMEs.","Madrid","oquendocapital.com"
"Europe","ESP","Spain","Suma Capital","Sustainable industry, energy, decarbonisation","Strong focus on environmental impact and sustainable industrial growth.","Barcelona","sumacapital.com"
"Europe","ESP","Spain","Dunas Capital","Industry, healthcare, technical services","Invests in growth and restructuring projects across multiple sectors.","Madrid","dunascapital.com"
"Europe","ESP","Spain","Aurica Capital","Light industry, industrial technology","Private equity arm of Banco Sabadell, targeting mid-market SMEs.","Barcelona","auricacapital.com"
"Europe","ESP","Spain","Abac Capital","Industry, logistics, B2B distribution","Invests in solid Spanish SMEs with strong international expansion potential.","Barcelona","abaccapital.com"
"Americas","ARG","Argentina","Pampa Capital","Agribusiness, manufacturing industry","One of the most active mid-market players with strong sector expertise.","Buenos Aires","pampacapital.com"
"Americas","ARG","Argentina","Kuarzo Capital","Industry, SME succession & transformation","Specialized in growth and generational handover of Argentine family-owned companies.","Buenos Aires","kuarzocapital.com"
"Americas","ARG","Argentina","Kandeo Private Equity (LATAM)","Finance, agribusiness, light industry","Regional fund active in Colombia, Peru, and Argentina, focused on productive enterprises.","Bogotá / Buenos Aires","kandeoinv.com"
"Americas","ARG","Argentina","Linzor Capital Partners","Industry, education, B2B services","Regional PE fund present in Chile, Mexico, Colombia, and Argentina.","Santiago / Buenos Aires","linzorcapital.com"
"Americas","ARG","Argentina","AR Partners","Industrial SMEs, logistics services","Highly focused on Argentina’s productive SME ecosystem.","Buenos Aires","arpartners.com.ar"
"Americas","ARG","Argentina","Southern Cross Group","Energy, heavy industry, manufacturing","One of Latin America’s largest regional funds, strong presence in Argentina (HQ in Chile).","Santiago / Buenos Aires","scglatin.com"
"Americas","ARG","Argentina","Cygnus Capital","Food industry, industrial tech","Early-growth investor with a strong focus on productive industries.","Buenos Aires","cygnuscapital.com.ar"
"Americas","ARG","Argentina","Alaya Capital Partners","Agtech, B2B SaaS, light manufacturing","VC fund based in Córdoba, very dynamic in industrial innovation and startups.","Córdoba","alayacapital.com"
"Americas","ARG","Argentina","NXTP Ventures","B2B tech, logistics, digital transformation","Regional VC supporting digitalization of value chains; active across LATAM including Argentina.","Buenos Aires","nxtp.vc"
"Americas","ARG","Argentina","Puente Partners","Infrastructure, energy, agribusiness","Traditional investment house with a strong industrial component.","Buenos Aires","puentenet.com"
"Asia","ARE","United Arab Emirates","Gulf Capital","Industry, logistics, energy, healthcare","Based in Abu Dhabi, very active in SMEs and mid-caps across the MENA region.","Abu Dhabi","gulfcapital.com"
"Asia","ARE","United Arab Emirates","NBK Capital Partners","Industry, services, education","Flexible PE investor (growth, mezzanine) with strong focus on MENA mid-market.","Dubai","nbkcapitalpartners.com"
"Asia","ARE","United Arab Emirates","Waha Capital","Healthcare, energy, industrial services","Invests in productive, high-growth companies across the region.","Abu Dhabi","wahacapital.com"
"Asia","ARE","United Arab Emirates","Shorooq Partners","Light manufacturing, logistics, B2B SaaS","Tech-focused VC fund with strong interest in industrial transformation.","Abu Dhabi","shorooq.com"
"Asia","ARE","United Arab Emirates","Aliph Capital","Industry, B2B distribution, logistics","Gulf mid-market private equity with an operational, value-creation approach.","Abu Dhabi","aliphcapital.com"
"Asia","ARE","United Arab Emirates","Abraaj Group (legacy)","Agribusiness, industry, infrastructure","Though dismantled, several spin-offs (e.g. Actis, TPG Rise) continue to manage Abraaj’s funds.","Dubai"," "
"Asia","ARE","United Arab Emirates","Greenstone Equity Partners","Manufacturing, energy, infrastructure","Placement platform in the UAE representing foreign PE/VC funds to regional investors.","Dubai","gsequity.com"
"Asia","ARE","United Arab Emirates","ADQ (Abu Dhabi Developmental Holding)","Heavy industry, logistics, pharmaceuticals","Sovereign investment holding company, channeling institutional capital into industrial growth.","Abu Dhabi","adq.ae"
"Asia","ARE","United Arab Emirates","Mubadala Capital (SME Fund)","Industry, industrial tech, services","Part of sovereign wealth fund Mubadala; manages dedicated SME and growth capital funds.","Abu Dhabi","mubadala.com/capital"
"Asia","ARE","United Arab Emirates","Crescent Enterprises (CE-Ventures)","Industry 4.0, logistics, sustainability","Dynamic corporate VC arm of Crescent Enterprises; invests in industrial value-chain innovation.","Sharjah","ce-ventures.com"
"Asia","SAU","Saudi Arabia","Riyadh Valley Company (RVC)","Industry, education, technology","Investment arm of King Saud University, focused on productive industrial and tech projects.","Riyadh","rvc.com.sa"
"Asia","SAU","Saudi Arabia","Jada Fund of Funds (PIF)","Industry, manufacturing, B2B services","PIF-backed FoF created to boost PE/VC for SMEs in Saudi Arabia.","Riyadh","jada.com.sa"
"Asia","SAU","Saudi Arabia","Sanabil Investments (PIF)","Healthcare, industry, B2B tech","PIF-affiliated sovereign investor; invests directly and via global VC/PE funds.","Riyadh","sanabil.com.sa"
"Asia","SAU","Saudi Arabia","BIM Ventures","Industry 4.0, supply chain, B2B SaaS","Early-stage venture builder with strong focus on SaaS and industrial technologies.","Riyadh","bimventures.com"
"Asia","SAU","Saudi Arabia","Vision Ventures (VV)","B2B tech, industrial services, manufacturing","VC investor targeting SMEs undergoing digital transformation.","Khobar","visionvc.co"
"Asia","SAU","Saudi Arabia","Merak Capital","Digital infrastructure, industrial software","Asset manager and PE firm focusing on digital productivity and industrial software.","Riyadh","merak.sa"
"Asia","SAU","Saudi Arabia","Saudi Venture Capital Company (SVC)","SME co-investment, VC/PE support","Government-backed fund investing via VC/PE firms and co-investments into SME growth.","Riyadh","svc.com.sa"
"Asia","SAU","Saudi Arabia","Alpha Capital","Logistics, agribusiness, construction (BTP)","Private equity player backing family-owned and industrial companies in Saudi Arabia.","Riyadh","alphacapital.sa"
"Asia","SAU","Saudi Arabia","Derayah Ventures / Derayah Capital","Industrial services, SaaS, SMEs","PE/VC hybrid investor supporting productive SMEs and industrial SaaS companies.","Riyadh","derayahventures.com"
"Asia","SAU","Saudi Arabia","Impact46","Light industry, logistics tech, transformation","Hybrid VC/PE fund, increasingly targeting tangible industrial and logistics projects.","Riyadh","impact46.com"
"Asia","CHN","China","Fosun Capital","Industry, pharma, B2B tech","PE arm of Fosun Group, highly active in Shanghai and international markets.","Shanghai","fosuncapital.com"
"Asia","CHN","China","China Renaissance (Huaxing Growth Capital)","Industry, logistics, Manufacturing 4.0","Strong presence in the Yangtze River Delta; growth capital & advisory platform.","Shanghai","huaxing.com"
"Asia","CHN","China","Legend Capital (联想控股)","Manufacturing, supply chain, industrial tech","Spin-off of Lenovo Holdings, strong portfolio in industrial technologies.","Beijing / Shanghai","legendcapital.com.cn"
"Asia","CHN","China","GL Capital","Healthcare, production, machine tools","Specializes in industrial and healthcare-related investments.","Shanghai","gl-capital.com"
"Asia","CHN","China","CDH Investments","Manufacturing, automotive, agribusiness","One of the oldest and largest PE firms in China; Beijing HQ but very active in Shanghai.","Beijing / Shanghai","cdhfund.com"
"Asia","CHN","China","Qiming Venture Partners","Industrial tech, smart manufacturing","VC/PE hybrid fund, early- and growth-stage, investing in advanced industrial verticals.","Shanghai","qimingvc.com"
"Asia","CHN","China","Hony Capital","Agribusiness, heavy industry, B2B services","Leading Chinese PE fund, supporting modernization of SMEs and mid-caps.","Beijing / Shanghai","honycapital.com"
"Asia","CHN","China","IDG Capital","Smart factories, IoT, automation","Pioneer PE/VC firm in China, investing across Shanghai, Beijing, Shenzhen.","Beijing / Shanghai / Shenzhen","idgcapital.com"
"Asia","CHN","China","ZhenFund (真格基金)","Industry 4.0, B2B tech (early stage)","Seed and early-stage VC supporting industrial and B2B innovation.","Beijing / Shanghai","zhenfund.com"
"Asia","CHN","China","Oriza Holdings (Suzhou)","Manufacturing, medtech, robotics","State-backed fund near Shanghai (Suzhou), very active in SMEs and industrial tech scale-ups.","Suzhou","oriza.com.cn"
"Africa","ZAF","South Africa","Metier Private Equity","Industry, agribusiness, energy, recycling","Strong expertise in productive sectors; active also in East and West Africa.","Johannesburg","metier.co.za"
"Africa","ZAF","South Africa","Ethos Mid Market Fund (Ethos PE)","Manufacturing, industrial services, B2B","One of South Africa’s oldest PE houses, with a specific vehicle for SMEs and mid-cap companies.","Johannesburg","ethos.co.za"
"Africa","ZAF","South Africa","Hlayisani Capital","Industry, tech, high-growth services","Focuses on innovative, export-ready South African SMEs.","Johannesburg","hlayisani.com"
"Africa","ZAF","South Africa","Agis Investments","Manufacturing, agribusiness, tech services","Focus on industrial transformation and local value-add in productive industries.","Johannesburg","agisinvestments.com"
"Africa","ZAF","South Africa","Summit Africa","B2B services, sustainable industry, energy","Impact-oriented PE fund with appetite for inclusive industrial projects.","Johannesburg","summitafrica.com"
"Africa","ZAF","South Africa","Kalon Venture Partners","Industry 4.0, supply chain, B2B tech","VC fund strongly focused on industrial digital transformation.","Johannesburg","kalonvp.com"
"Africa","ZAF","South Africa","EXEO Capital (Agri-Vie Fund II)","Agribusiness, food processing","Active across Southern and East Africa in agro-industrial projects.","Cape Town","exeocapital.com"
"Africa","ZAF","South Africa","One Thousand & One Voices (1K1V)","Agribusiness, industry, manufacturing","Pan-African family capital fund, based in Johannesburg, focused on family-owned industrial SMEs.","Johannesburg","1k1v.com"
"Africa","ZAF","South Africa","Secha Capital","Light industry, FMCG, logistics","""Operating capital"" approach active strategic and operational support for SMEs.","Johannesburg","sechacapital.com"
"Africa","ZAF","South Africa","Grovest (Section 12J VC)","Manufacturing, B2B tech, SMEs","Pioneer of tax-efficient SME investing in South Africa under Section 12J regime.","Johannesburg","grovest.co.za"
"Africa","TUN","Tunisia","AfricInvest","Industry, agribusiness, B2B services","Major pan-African PE firm based in Tunis, with strong industrial expertise.","Tunis","africinvest.com"
"Africa","TUN","Tunisia","GMP Capital","Industry, manufacturing, SME growth","Provides growth capital, venture capital, and restructuring solutions.","Tunis","gmpcapital.com"
"Africa","TUN","Tunisia","UGFS North Africa","Industry, agribusiness, healthcare, services","Manages multiple funds, including Theemar (Sharia-compliant) and Musanada.","Tunis","ugfsna.com"
"Africa","TUN","Tunisia","Mediterrania Capital Partners","Distribution, agribusiness, manufacturing","Operating in Tunisia since 2013, with investments like Aziza supermarkets.","Tunis / Barcelona","mediterraniacapitalpartners.com"
"Africa","TUN","Tunisia","Maghreb Private Equity Fund III","Industry, logistics, B2B services","Managed by AfricInvest; focuses on SMEs with regional growth potential.","Tunis","africinvest.com"
"Africa","TUN","Tunisia","SPE Capital","Healthcare, education, light industry","Regional PE firm backed by development finance institutions.","Tunis / Paris","specapital.com"
"Africa","TUN","Tunisia","216 Capital Ventures","SaaS, B2B, industrial tech","Backed by ANAVA Fund; portfolio includes eSteps and Proxalys.","Tunis","216capital.vc"
"Africa","TUN","Tunisia","Flat6Labs Tunis","Tech, e-commerce, B2B SaaS","Regional accelerator with a diversified startup portfolio.","Tunis","flat6labs.com/tunis"
"Africa","TUN","Tunisia","Smart Capital – Innovatech Fund","Innovative industrial SMEs","Public fund supporting high-impact SMEs, backed by institutional partners.","Tunis","smartcapital.tn"
"Africa","TUN","Tunisia","WikiStartup","Industry 4.0, B2B tech","First private accelerator in Tunisia, supported by EIB’s FEMIP.","Tunis","wikistartup.tn"
"Africa","TUN","Tunisia","Go Big Partners","B2B, industrial tech","Local fund backed by ANAVA, focused on internationally-oriented startups.","Tunis","gobigpartners.com"
"Africa","TUN","Tunisia","MEDIN Fund / TITAN Seed Fund","Industrial tech, SaaS, hardware","Connects North African ecosystem with global hubs like Silicon Valley.","Tunis","medinfund.com / titanstartup.com"
"Africa","MAR","Morocco","AfricInvest","Industry, agribusiness, B2B services","Major pan-African PE firm headquartered in Tunis; strong industrial expertise and Moroccan deals.","Tunis / Casablanca","africinvest.com"
"Africa","MAR","Morocco","CDG Invest Growth","Industry, chemicals, healthcare, logistics","Subsidiary of Caisse de Dépôt et de Gestion (CDG); active in Moroccan SMEs.","Rabat","cdginvest.ma"
"Africa","MAR","Morocco","SPE Capital Partners","Healthcare, education, light industry","Regional PE firm backed by DFIs, active in North Africa including Morocco.","Tunis / Casablanca","specapital.com"
"Africa","MAR","Morocco","Mediterrania Capital Partners","Distribution, agribusiness, manufacturing","Regional PE firm with presence in Tunisia, Algeria, Morocco; investments include Akdital (healthcare).","Barcelona / Casablanca","mediterraniacapitalpartners.com"
"Africa","MAR","Morocco","Amethis","Industry, services, consumer","Pan-African PE fund with multiple Moroccan investments (e.g., LabelVie, Premium Group).","Paris / Casablanca","amethis.com"
"Africa","MAR","Morocco","Fipar-Holding (CDG Group)","Industry, telecoms, energy, infrastructure","CDG subsidiary investing in large, structuring projects for Morocco’s economy.","Rabat","fipar.ma"
"Africa","MAR","Morocco","Massinissa Fund (Almamed / Alma Capital)","Industrial SMEs, growth","SME growth fund backed by the EIB, managed by Almamed (subsidiary of Alma Capital).","Casablanca","almagestcapital.com"
"Africa","MAR","Morocco","Capital North Africa Venture Fund","Diversified SMEs, manufacturing","Managed by Capital Invest, focuses on Moroccan SMEs with growth potential.","Casablanca","capitalinvest.ma"
"Africa","MAR","Morocco","SEAF Morocco Growth Fund","Industrial SMEs, agribusiness","Impact fund backed by SEAF, targeting underserved SME markets in Morocco.","Casablanca","seaf.com"
"Africa","MAR","Morocco","Investima (Société Générale)","Industry, B2B services","Subsidiary of Société Générale, investing in Moroccan SMEs.","Casablanca","societegenerale.ma"
"Africa","NGA","Nigeria","AfricInvest SME Fund","Industry, agribusiness, B2B services","Pan-African fund supporting high-growth SMEs, active in Nigeria.","Lagos / Tunis","africinvest.com"
"Africa","NGA","Nigeria","CardinalStone Capital Advisers (CCAGF)","Industry, agribusiness, financial services","$64M fund targeting SMEs in Nigeria and Ghana.","Lagos","cardinalstone.com"
"Africa","NGA","Nigeria","Uhuru Growth Fund I","Consumer, financial services, industry","IFC-backed fund with a focus on women-led enterprises in West Africa.","Lagos","uhuru-capital.com"
"Africa","NGA","Nigeria","SPE Capital Partners","Healthcare, education, light industry","Regional PE firm backed by DFIs, active in Nigeria and West Africa.","Lagos / Tunis","specapital.com"
"Africa","NGA","Nigeria","Helios Investment Partners","Telecoms, energy, logistics, agribusiness","Pan-African fund with strong Nigerian presence and large-scale industrial investments.","Lagos / London","heliosinvestment.com"
"Africa","NGA","Nigeria","Comercio Partners","Financial services, infrastructure, SMEs","Investment and asset management firm with SME financing products.","Lagos","comerciopartners.com"
"Africa","NGA","Nigeria","AAF SME Fund","Agribusiness, food processing","Focused on African food security and agribusiness SMEs.","Lagos / Accra","aaf-group.com"
"Africa","NGA","Nigeria","Grow Africa Equity Partners","Technology, agriculture, consumer goods","Partnership with Bank of Industry for a $60M SME fund in Nigeria.","Lagos","growafricaequity.com"
"Africa","NGA","Nigeria","SME Capital","Agrotech, security, IT, fintech, energy","Has invested in over 100 startups and SMEs across Nigeria.","Lagos","smecapital.ng"
"Africa","NGA","Nigeria","Pacer Ventures","Healthcare, education, finance, agriculture","$3M early-stage VC fund driving digital transformation across Africa.","Lagos","pacerventures.com"
"Africa","NGA","Nigeria","Growth Capital by CcHUB","Smart public services, B2B technologies","Impact investment arm of CcHUB in partnership with Bank of Industry & Venture Garden Group.","Lagos","cchubnigeria.com/growth-capital"
"Africa","NGA","Nigeria","Sabou Capital","Industrial SMEs, manufacturing, logistics","New fund designed to close SME financing gaps in West Africa.","Lagos","saboucapital.com"
"Africa","MUS","Mauritius","SME Equity Fund (SEF)","Industry, agribusiness, B2B services","Provides equity and quasi-equity financing to Mauritian SMEs.","Port Louis","dbm.mu (via Development Bank of Mauritius)"
"Africa","MUS","Mauritius","SME Partnership Fund","All productive sectors","Co-invests up to 49% in the equity of viable SME projects.","Port Louis","smepartnershipfund.mu"
"Africa","MUS","Mauritius","Adenia Partners","Manufacturing, agribusiness, logistics","Pan-African PE firm with strong presence in Mauritius and regional coverage in East/West Africa.","Port Louis","adenia.com"
"Africa","MUS","Mauritius","Inside Capital Partners","Energy, recycling, construction materials","Impact-focused fund targeting SMEs in the Indian Ocean and Southern Africa.","Port Louis","insidecapital.mu"
"Africa","MUS","Mauritius","Adiwale Partners","Industry, consumer, supply chain","West Africa–focused PE fund domiciled in Mauritius.","Port Louis","adiwalepartners.com"
"Africa","MUS","Mauritius","MCB Equity Fund","Established SMEs across sectors","Subsidiary of Mauritius Commercial Bank (MCB Group), provides private equity solutions.","Port Louis","mcbgroup.com"
"Africa","MUS","Mauritius","AfricInvest SME Fund","Agribusiness, healthcare, manufacturing","Pan-African SME growth fund with activity in Mauritius.","Port Louis / Tunis","africinvest.com"
"Africa","MUS","Mauritius","Joliba Capital Fund I","Industry, services, consumer","Pan-African fund domiciled in Mauritius, backed by IFC and Proparco.","Port Louis","jolibacapital.com"
"Africa","MUS","Mauritius","Saviu Ventures","SaaS, B2B tech, digital services","Francophone Africa–focused VC with activity in Mauritius.","Port Louis","saviu.vc"
"Africa","MUS","Mauritius","Acumen","Healthcare, agriculture, financial services","Global impact fund investing in high-impact startups in Africa.","Port Louis / Nairobi","acumen.org"
"Africa","MUS","Mauritius","Launch Africa Ventures","B2B tech, fintech, logistics","Active early-stage VC investing across Africa, with Mauritius as a base of operations.","Port Louis","launchafrica.vc"
"Africa","MUS","Mauritius","Future Africa","Agriculture, education, healthcare","Supports innovative African entrepreneurs with early capital and ecosystems.","Port Louis / Lagos","future.africa"
"Africa","MDG","Madagascar","Miarakap","Agribusiness, industry, B2B services","First impact fund dedicated to Malagasy SMEs, provides strong strategic support.","Antananarivo","miarakap.com"
"Africa","MDG","Madagascar","Inside Capital Partners (IEF II)","Recycling, energy, construction materials","Regional fund based in Mauritius, actively investing in Madagascar.","Port Louis / Antananarivo","insidecapital.mu"
"Africa","MDG","Madagascar","Investisseurs & Partenaires (IPAE 3)","Agribusiness, healthcare, energy, industry","Local presence in Antananarivo, backed by EIB.","Antananarivo","investisseurs-et-partenaires.com"
"Africa","MDG","Madagascar","Adenia Partners","Industry, services, agribusiness","Pan-African PE fund with a Madagascar office, investing in SMEs.","Antananarivo","adenia.com"
"Africa","MDG","Madagascar","AAF SME Fund","Agriculture, food processing","Impact fund investing in African agribusiness; backed Guanomad in Madagascar.","Antananarivo","aaf-group.com"
"Africa","MDG","Madagascar","Phatisa","Agribusiness, real estate, services","Pan-African PE fund with projects in Madagascar.","Johannesburg / Antananarivo","phatisa.com"
"Africa","MDG","Madagascar","Madagascar Development Partners","Local unlisted SMEs","PE firm registered in Delaware, specifically targeting Malagasy companies.","Antananarivo"," "
"Africa","MDG","Madagascar","BPI Madagascar SME Fund","Multisector SMEs","SME-focused fund initiated by IFC and Business Partners, with EIB support.","Antananarivo","businesspartners.africa"
"Africa","MDG","Madagascar","Norfund","Energy, agribusiness, financial services","Norwegian state investment fund active in least-developed countries, including Madagascar.","Oslo / Antananarivo","norfund.no"
"Africa","MDG","Madagascar","AXIAN Investment","Fintech, logistics, energy, digital","VC arm of AXIAN Group, investing directly in African startups including in Madagascar.","Antananarivo","axian-group.com"
"Africa","MDG","Madagascar","Habaka Innovation Hub","Tech, education, entrepreneurship","Tech hub in Antananarivo, member of AfriLabs; supports early-stage digital ventures.","Antananarivo","habaka.org"
"Africa","MDG","Madagascar","Saviu Ventures","SaaS, B2B tech, digital services","Francophone Africa–focused VC fund with portfolio companies in Madagascar.","Port Louis / Antananarivo","saviu.vc"
"Africa","BWA","Botswana","Norsad Capital","Financial institutions, food value chain, social infrastructure, manufacturing","Impact-focused private credit provider and investor, based in Gaborone; over $700M deployed in 170+ African companies.","Gaborone","norsadcapital.com"
"Africa","BWA","Botswana","Botswana Development Corporation (BDC)","Industry, agribusiness, energy, B2B services","Government-owned investment arm, offering equity and debt financing for viable projects.","Gaborone","bdc.bw"
"Africa","BWA","Botswana","Business Partners International (BPI)","Construction, tourism, healthcare, education, business services","SME-focused fund supported by AfDB, targets firms with < $10M turnover and < 300 employees.","Gaborone","businesspartners.africa"
"Africa","BWA","Botswana","National Development Bank (NDB)","Agriculture, real estate, trade, industry","State-owned development bank, focused on financing agriculture and food security projects.","Gaborone","ndb.bw"
"Africa","BWA","Botswana","Citizen Entrepreneurial Development Agency (CEDA)","Diversified sectors incl. technology, manufacturing, agriculture","Government agency providing capital financing to citizen-owned enterprises and joint ventures.","Gaborone","ceda.co.bw"
"Africa","BWA","Botswana","Botswana Innovation Hub (BIH)","Technology, innovation, startups","Provides pre-seed funding, office space, and business development support via the First Steps Venture Center.","Gaborone","bih.co.bw"
"Africa","BWA","Botswana","Angel Network Botswana (ANB)","Tech startups, fintech, logistics","Angel investment network supporting innovative startups in Botswana.","Gaborone","angelnetworkbotswana.com"
"Africa","NAM","Namibia","Eos Capital","Agribusiness, energy, manufacturing, B2B","Namibian PE firm managing NAD 1B+ across 3 funds: Allegrow, Euphrates, NIDIF.","Windhoek","eoscapital.com.na"
"Africa","NAM","Namibia","Baobab Capital (Pty) Ltd","Industrial SMEs, agribusiness, services","Invests in Namibian and SADC SMEs with growth potential.","Windhoek","baobabcapital.com.na"
"Africa","NAM","Namibia","Ino Capital Investments","Diversified SME sectors","Signed MoU with Moneda Invest and FNB Namibia to finance local SMEs.","Windhoek"," "
"Africa","NAM","Namibia","Business Partners International (BPI)","Industry, agribusiness, B2B services","Subsidiary of Business Partners Ltd, provides SME financing in Namibia.","Windhoek","businesspartners.africa"
"Africa","NAM","Namibia","Venture Capital Fund – Development Bank of Namibia (DBN)","High-growth SMEs","State-owned DBN launched VC fund to invest equity in established SMEs.","Windhoek","dbn.com.na"
"Africa","NAM","Namibia","Environmental Investment Fund (EIF) – Green Credit Facility","Green SMEs, youth-led businesses","Program targeting eco-SMEs & youth enterprises, NAD 70M already disbursed.","Windhoek","eif.org.na"
"Africa","NAM","Namibia","Temo Capital","Diversified SME sectors","Namibian financial services company providing creative SME financing solutions.","Windhoek","temocapital.com"
"Africa","ZMB","Zambia","Kukula Capital","Agribusiness, manufacturing, B2B","Zambia-based PE firm offering direct investments & advisory services.","Lusaka","kukulacapital.com"
"Africa","ZMB","Zambia","Amano Capital","Startups, growth SMEs, technology","First licensed VC in Zambia, focused on high-growth potential companies.","Lusaka","amanocapital.com"
"Africa","ZMB","Zambia","Inside Capital Partners","Agribusiness, energy, manufacturing","Regional fund active in Zambia, Madagascar, Mauritius, and Southern Africa.","Lusaka / Port Louis","insidecapital.mu"
"Africa","ZMB","Zambia","AAF SME Fund","Agribusiness, food processing","Africa Agriculture Fund focusing on food security & processing, active in Zambia.","Lusaka","aaf-group.com"
"Africa","ZMB","Zambia","Business Partners International (BPI)","Diversified SME sectors","SME financing arm backed by AfDB, supports SMEs under $10M turnover.","Lusaka","businesspartners.africa"
